2026-04-19 12:10:55 | INFO    | run_all | ======================================================================
2026-04-19 12:10:55 | INFO    | run_all | >>> RUNNING RSS CRAWLER
2026-04-19 12:10:56 | INFO    | run_all | >>> RUNNING HTML CRAWLER
2026-04-19 12:10:56 | INFO    | run_all | >>> BUILDING FINAL DATASET
2026-04-19 12:10:57 | INFO    | run_all | ======================================================================
2026-04-19 12:10:57 | INFO    | run_all | PIPELINE FINISHED
2026-04-19 12:10:57 | INFO    | run_all | ======================================================================
2026-04-19 12:42:16 | INFO    | run_all | ======================================================================
2026-04-19 12:42:16 | INFO    | run_all | NEWS CRAWLER PIPELINE
2026-04-19 12:42:16 | INFO    | run_all | ======================================================================
2026-04-19 12:42:16 | INFO    | run_all | Start date    : 2026-04-12
2026-04-19 12:42:16 | INFO    | run_all | Enrich RSS    : True
2026-04-19 12:42:16 | INFO    | run_all | Max pages/cat : 50
2026-04-19 12:42:16 | INFO    | run_all | Output dir    : data
2026-04-19 12:42:16 | INFO    | run_all | RSS feeds     : 98
2026-04-19 12:42:16 | INFO    | run_all | HTML sites    : ['24h.com.vn', 'znews.vn', 'laodong.vn']
2026-04-19 12:42:16 | INFO    | run_all | ======================================================================
2026-04-19 12:42:16 | INFO    | run_all | >>> RUNNING RSS CRAWLER
2026-04-19 12:42:16 | INFO    | run_all | >>> RUNNING HTML CRAWLER
2026-04-19 12:42:16 | INFO    | run_all | >>> BUILDING FINAL DATASET
2026-04-19 12:42:17 | INFO    | run_all | ======================================================================
2026-04-19 12:42:17 | INFO    | run_all | PIPELINE FINISHED
2026-04-19 12:42:17 | INFO    | run_all | ======================================================================
2026-04-19 12:42:47 | INFO    | run_all | ======================================================================
2026-04-19 12:42:47 | INFO    | run_all | NEWS CRAWLER PIPELINE
2026-04-19 12:42:47 | INFO    | run_all | ======================================================================
2026-04-19 12:42:47 | INFO    | run_all | Start date    : 2026-04-12
2026-04-19 12:42:47 | INFO    | run_all | Enrich RSS    : True
2026-04-19 12:42:47 | INFO    | run_all | Max pages/cat : 50
2026-04-19 12:42:47 | INFO    | run_all | Output dir    : data
2026-04-19 12:42:47 | INFO    | run_all | RSS feeds     : 98
2026-04-19 12:42:47 | INFO    | run_all | HTML sites    : ['24h.com.vn', 'znews.vn', 'laodong.vn']
2026-04-19 12:42:47 | INFO    | run_all | ======================================================================
2026-04-19 12:42:47 | INFO    | run_all | >>> RUNNING RSS CRAWLER
2026-04-19 12:48:58 | INFO    | run_all | ======================================================================
